Fund Name,What is the 1-month performance figure?,What is the 3-month performance figure?,What is the 6-month performance figure?,What is the 1-year performance figure?,What is the 3-year performance figure?,What is the 5-year performance figure?,What are the top 10 holdings of the fund_ along with their weights?,What is the asset allocation breakdown for the fund?,What is the geographic allocation of the fund’s investments?,What is the sector breakdown of the fund?,What is the credit quality of the bonds held in the fund?,What is the duration of the bonds held in the fund?,How is the performance of the fund measured against its benchmark?,What is the cumulative performance of the fund for the last month?,What is the quartile ranking of the fund compared to its peers?,Are there any risk warnings specific to this fund?,What is the market capitalisation of the equities held by the fund?,What types of fixed interest assets does the fund hold?,What percentage of the fund is allocated to cash/money market investments?,What are the regulated frameworks under which the fund operates?
Aviva_Pension_MyM_BlackRock_Over_15_Year_Gilt_Index_Tracker_[Unnamed_Life-Pension_fund_unit],10.73%,10.26%,NA,6.23%,-43.45%,-42.34%,"<41% Treasury Gilt 2042,5.8%>,<43% Treasury Gilt 2043,5.3%>,<41% Treasury Gilt 2055,5.3%>,<41% Treasury Gilt 2040,5.3%>,<33% Treasury Gilt 2045,5.0%>,<41% Treasury Gilt 2046,4.9%>,<34% Treasury Gilt 2044,4.8%>,<34% Treasury Gilt 2053,4.7%>,<4% Treasury Gilt 2060,4.5%>,<33% Treasury Gilt 2052,4.4%>","<UK Gilts,99.0%>,<Cash/Money Market,1.0%>","<UK,99.0%>,<Cash/Money Market,1.0%>",NA,"<AAA,0.0%>,<AA,99.0%>,<A,0.0%>,<BBB,0.0%>,<BB,0.0%>,<B,0.0%>,<Less than CCC,0.0%>,<Cash/Money Market,1.0%>,<Not Rated,0.0%>,<Non Debt,0.0%>","Greater than 15Yr Maturity,99.0%",NA,10.73%,2,Yes,NA,NA,1.00%,NA
Aviva_Pension_MyM_BlackRock_Over_5_Year_Index-Linked_Gilt_Index_Tracker_[Unnamed_Life-Pension_fund_unit],7.23%,11.51%,11.85%,4.76%,-41.95%,-32.85%,"<1¼% Index-linked Treasury Gilt 2032,6.3%>,<1 1/8% Index-linked Treasury Gilt 2037,5.7%>,<0 3/4% Index-linked Treasury Gilt 2034,5.4%>,<0 5/8% Index-linked Treasury Gilt 2040,5.2%>,<2% Index-linked Treasury Stock 2035,5.0%>,<0 5/8% Index-linked Treasury Gilt 2024,4.6%>,<0 1/8% Index-linked Treasury Gilt 2044,4.5%>,<1¼% Index-linked Treasury Gilt 2055,4.4%>,<0 1/8% Index-linked Treasury Gilt 2036,4.3%>,<0 3/4% Index-linked Treasury Gilt 2047,4.2%>","<UK Gilts,97.0%>,<Other,2.7%>,<Cash/Money Market,0.3%>","<UK,97.0%>",NA,"<AAA,0.0%>,<AA,97.0%>,<A,0.0%>,<BBB,0.0%>,<BB,0.0%>,<B,0.0%>,<Less than CCC,0.0%>,<Cash/Money Market,0.3%>,<Not Rated,0.0%>,<Non Debt,2.7%>",NA,NA,NA,"<3,3,3>",Investment is not guaranteed,NA,NA,0.30%,NA
Aviva_Pension_MyM_BlackRock_Pacific_Rim_Equity_Index_Tracker_[Unnamed_Life-Pension_fund_unit],10.86%,NA,NA,11.56%,2.61%,23.10%,"<SAMSUNG ELECTRONICS CO. LTD,7.0%>,<COMMONWEALTH BANK OF AUSTRALIA,5.4%>,<BHP GROUP LIMITED,4.8%>,<CSL LTD,3.1%>,<AIA GROUP LIMITED,3.0%>,<NATIONAL AUSTRALIA BANK LIMITED,2.7%>,<WESTPAC BANKING CORPORATION,2.5%>,<SK HYNIX,2.5%>,<AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,2.1%>,<DBS GROUP HOLDINGS LTD,2.0%>","<Developed Asia Equities (ex Japan),64.2%>,<Emerging Asia Equities,28.0%>,<Real Estate Investment Trusts,4.2%>,<Alternative - Trading Strategies,1.3%>,<Managed Funds,1.2%>,<Developed Europe Equities,0.7%>,<North American Equities,0.1%>,<Other,0.1%>,<Cash/Money Market,0.0%>","<Australia,42.6%>,<South Korea,27.9%>,<Hong Kong,11.9%>,<Singapore,7.4%>,<Direct Property and REITs,4.2%>,<New Zealand,2.4%>,<Managed Funds,1.2%>,<Ireland,0.5%>,<Other,0.2%>,<Cash/Money Market,0.0%>","<Financials,30.8%>,<Basic Materials,10.4%>,<Industrials,9.4%>,<Telecommunications,9.3%>,<Consumer Discretionary,8.9%>,<Health Care,7.7%>,<Real Estate,6.9%>,<Technology,6.1%>,<Consumer Staples,3.0%>,<Energy,2.4%>,<Utilities,2.3%>,<Alternative Trading Strategies,1.3%>,<Other,1.4%>,<Cash/Money Market,0.0%>",NA,NA,NA,NA,4,"<A - General,Yes>,<B - Foreign Exchange Risk,Yes>,<C - Emerging Markets,No>,<D - Smaller Companies,No>,<E - Fixed Interest,No>,<F - Derivatives,No>,<G - Cash/Money Market Funds,No>,<H - Property Funds,No>,<I - High Yield Bonds,No>,<J - Reinsured Funds,No>,<K - Long Term Asset Funds,No>","<Mega (Greater than 50bn),26.8%>,<Large (3bn-50bn),59.2%>,<Medium (1bn-3bn),7.1%>,<Small (50m-1bn),1.1%>,<Micro (Less than 50m),0.0%>,<Other,5.8%>,<Cash/Money Market,0.0%>",NA,0.00%,NA
Aviva_Pension_MyM_BlackRock_Sterling_Liquidity_[Unnamed_Life-Pension_fund_unit],NA,NA,NA,5.45%,11.15%,11.80%,"<NATIONWIDE BUILDING SOCIETY,3.3%>,<ABN AMRO BANK NV,1.6%>,<TORONTO-DOMINION BANK,1.4%>,<ROYAL BANK OF CANADA,1.4%>,<AGENCE CENTRALE DES ORGANISMES DE SECURITE SOCIALE,1.4%>,<BPCE SA,1.2%>,<DZ BANK AG,1.2%>,<NEW YORK LIFE GLOBAL FUNDING MTN,1.2%>,<TORONTO-DOMINION BANK,1.0%>,<BNP PARIBAS,1.0%>","<Certificate of Deposit,43.3%>,<Other Repurchase Agreement,20.7%>,<Other Note,10.3%>,<Financial Company Commercial Paper,9.4%>,<Non- Negotiable Time Deposit,5.9%>,<Non- U.S. Sovereign, Sub-Sovereign and Supra-National Debt,5.7%>,<Asset Backed Commercial Paper,3.1%>,<Insurance Company Funding Agreement,1.2%>,<Non- financial Company Commercial Paper,0.5%>",NA,NA,NA,NA,NA,NA,1,Yes,NA,NA,NA,NA
Aviva_Pension_MyM_BlackRock_UK_Equity_Index_Tracker_[Unnamed_Life-Pension_fund_unit],NA,NA,NA,14.44%,19.61%,31.39%,"<ASTRAZENECA,7.2%>,<SHELL,6.9%>,<HSBC HOLDINGS,5.7%>,<UNILEVER,5.0%>,<RELX,2.9%>,<BP,2.7%>,<GSK,2.4%>,<RIO TINTO,2.3%>,<DIEGO,2.3%>,<LONDON STOCK EXCHANGE GROUP,2.3%>","<UK Equities,89.8%>,<Investment Trusts,5.5%>,<Real Estate Investment Trusts,1.6%>,<Developed Europe Equities,1.2%>,<Alternative - Trading Strategies,0.8%>,<North American Equities,0.6%>,<Middle East & Africa,0.1%>,<Non-Classified Equities,0.1%>,<Short-maturity Developed Investment Grade Bonds,0.0%>,<Japan Equities,0.0%>,<UK High Yield Bonds,0.0%>,<Japan High Yield Bonds,0.0%>,<Other,0.5%>","<United Kingdom,89.8%>,<Direct Property and REITs,1.6%>,<Ireland,0.4%>,<Spain,0.3%>,<Netherlands,0.3%>,<Switzerland,0.2%>,<Luxembourg,0.2%>,<Israel,0.1%>,<Other,7.3%>,<Cash/Money Market,-0.1%>","<Financials,24.6%>,<Industrials,12.5%>,<Consumer Discretionary,11.8%>,<Consumer Staples,11.7%>,<Health Care,11.6%>,<Energy,9.9%>,<Basic Materials,6.9%>,<Utilities,4.0%>,<Real Estate,2.5%>,<Telecommunications,1.3%>,<Technology,1.2%>,<Alternative Trading Strategies,0.8%>,<Other,1.6%>",NA,NA,NA,NA,4,"<A - General,Yes>,<B - Foreign Exchange Risk,No>,<C - Emerging Markets,No>,<D - Smaller Companies,Yes>,<E - Fixed Interest,No>,<F - Derivatives,No>,<G - Cash/Money Market Funds,No>,<H - Property Funds,No>,<I - High Yield Bonds,No>,<J - Reinsured Funds,No>,<K - Long Term Asset Funds,No>","<Mega (Greater than 50bn),29.8%>,<Large (3bn-50bn),46.0%>,<Medium (1bn-3bn),7.2%>,<Small (50m-1bn),4.6%>,<Micro (Less than 50m),0.0%>,<Other,12.5%>,<Cash/Money Market,-0.1%>",NA,NA,NA
Aviva_Pension_MyM_BlackRock_US_Equity_Index_Tracker_[Unnamed_Life-Pension_fund_unit],NA,NA,NA,33.28%,38.31%,104.81%,"<APPLE,6.8%>,<NVIDIA CORPORATION,6.6%>,<MICROSOFT CORPORATION,6.5%>,<AMAZON.COM,3.6%>,<META PLATFORMS,2.6%>,<ALPHABET INC,2.1%>,<ALPHABET INC,1.8%>,<BROADCOM,1.6%>,<TESLA,1.5%>,<ELI LILLY AND COMPANY,1.4%>","<North American Equities,95.0%>,<Developed Europe Equities,2.8%>,<Real Estate Investment Trusts,1.4%>,<Alternative - Trading Strategies,0.7%>,<UK Equities,0.1%>,<Middle East & Africa Equities,0.0%>,<Developed Asia Equities (ex Japan),0.0%>","<United States,95.2%>,<Ireland,2.2%>,<Direct Property and REITs,1.2%>,<Switzerland,0.3%>,<Netherlands,0.2%>,<Luxembourg,0.1%>,<United Kingdom,0.1%>,<Israel,0.0%>,<Other,0.7%>,<Cash/Money Market,0.0%>","<Technology,37.6%>,<Consumer Discretionary,14.1%>,<Industrials,11.3%>,<Financials,11.0%>,<Health Care,10.0%>,<Consumer Staples,3.8%>,<Energy,3.2%>,<Real Estate,2.4%>,<Telecommunications,2.1%>,<Utilities,1.5%>,<Basic Materials,1.5%>,<Alternative Trading Strategies,0.7%>",NA,NA,NA,NA,1,Yes,"<Mega (Greater than 50bn),49.1%>,<Large (3bn-50bn),43.2%>,<Medium (1bn-3bn),0.9%>,<Small (50m-1bn),0.0%>,<Micro (Less than 50m),0.0%>,<Other,6.9%>,<Cash/Money Market,0.0%>",NA,NA,NA
Aviva_Pension_MyM_BlackRock_World_ESG_Insights_Equity_[Unnamed_Life-Pension_fund_unit],NA,NA,NA,28.37%,NA,NA,"<MICROSOFT CORPORATION,5.4%>,<NVIDIA CORPORATION,4.7%>,<APPLE,4.2%>,<AMAZON.COM,1.9%>,<META PLATFORMS,1.6%>,<JOHNSON & JOHNSON,1.5%>,<SALESFORCE.COM,1.3%>,<PEPSICO,1.3%>,<JPMORGAN CHASE & CO,1.2%>,<ALPHABET INC,1.2%>","<North American Equities,67.1%>,<Developed Europe Equities,16.7%>,<Japan Equities,5.7%>,<Developed Asia Equities (ex Japan),3.4%>,<UK Equities,3.2%>,<Real Estate Investment Trusts,1.3%>,<Emerging Asia Equities,1.2%>,<Managed Funds,0.8%>,<Non-Classified Equities,0.1%>,<Middle East & Africa Equities,0.0%>,<Emerging Europe Equities,0.0%>,<Developed Europe High Yield Bonds,0.0%>,<Alternative - Trading Strategies,0.0%>,<Cash/Money Market,0.4%>","<North America,67.1%>,<Developed Europe,16.7%>,<Japan,5.7%>,<Developed Asia,3.4%>,<UK,3.2%>,<Emerging Asia,1.2%>,<Cash/Money Market,0.4%>","<Technology,28.3%>,<Industrials,14.3%>,<Consumer Discretionary,12.8%>,<Financials,12.6%>,<Health Care,12.1%>,<Consumer Staples,5.0%>,<Energy,3.9%>,<Basic Materials,2.8%>,<Telecommunications,2.7%>,<Real Estate,2.2%>,<Utilities,1.9%>,<Managed Funds,0.8%>,<Other,0.2%>,<Cash/Money Market,0.4%>",NA,NA,NA,NA,1,"<General,Yes>,<Foreign Exchange Risk,Yes>,<Emerging Markets,No>,<Smaller Companies,No>,<Fixed Interest,No>,<Derivatives,Yes>,<Cash/Money Market Funds,No>,<Property Funds,No>,<High Yield Bonds,No>,<Reinsured Funds,No>,<Long Term Asset Funds,No>","<Mega (Greater than 50bn),47.8%>,<Large (3bn-50bn),47.3%>,<Medium (1bn-3bn),0.4%>,<Small (50m-1bn),0.0%>,<Micro (Less than 50m),0.0%>,<Other,4.1%>,<Cash/Money Market,0.4%>","<Fixed Interest,Yes>,<Derivatives,Yes>",0.40%,NA
Aviva_Pension_MyM_BlackRock_World_ex_UK_Equity_Index_Tracker_[Unnamed_Life-Pension_fund_unit],21.02%,10.12%,-2.41%,27.93%,31.23%,83.09%,"<APPLE,4.9%>,<NVIDIA CORPORATION,4.8%>,<MICROSOFT CORPORATION,4.8%>,<AMAZON.COM,2.6%>,<META PLATFORMS,1.9%>,<ALPHABET INC,1.5%>,<ALPHABET INC,1.3%>,<BROADCOM,1.2%>,<TESLA,1.1%>,<ELI LILLY AND COMPANY,1.0%>","<North American Equities,71.7%>,<Developed Europe Equities,14.2%>,<Japan Equities,6.4%>,<Developed Asia Equities (ex Japan),2.9%>,<Alternative - Trading Strategies,1.3%>,<Real Estate Investment Trusts,1.3%>,<Emerging Asia Equities,1.2%>,<Non-Classified Equities,0.3%>,<Middle East & Africa Equities,0.2%>,<Managed Funds,0.1%>","<North America,71.8%>,<Developed Europe,14.3%>,<Emerging Europe,0.1%>,<Japan,6.4%>,<Emerging Asia,1.2%>","<Technology,29.9%>,<Financials,13.9%>,<Consumer Discretionary,13.7%>,<Industrials,13.0%>,<Health Care,11.0%>,<Consumer Staples,4.2%>,<Energy,3.2%>,<Basic Materials,2.6%>,<Telecommunications,2.6%>,<Real Estate,2.4%>",NA,NA,NA,NA,1,Yes,"<Mega (Greater than 50bn),45.0%>,<Large (3bn-50bn),45.7%>,<Medium (1bn-3bn),1.6%>,<Small (50m-1bn),0.1%>,<Micro (Less than 50m),0.0%>",NA,0.20%,NA
Aviva_Pension_MyM_BNY_Mellon_Global_Dynamic_Bond_[Unnamed_Life-Pension_fund_unit],7.69%,2.02%,-8.15%,8.08%,1.34%,3.98%,"<USA Treasury Notes 3.5% 15/02/2033 USD100,3.6%>,<USA Treasury Notes 0.125% TII 15/01/2031 USD100,3.2%>,<Brazil (Fed Rep of) 0% LTN 01/2028 BRL1000,2.3%>,<Mexico (United Mexican States) 7% T-bill 01/10/2024 MXN10,2.3%>,<USA Treasury Notes 0.125% TII 15/04/2017 USD100,2.1%>,<Japan (Govt of) 0.4% Bds 20/03/2056 JPY50000,2.0%>,<Australia (Commonwealth) 2.75% Bds 21/05/2041 AUD1000,1.9%>,<Australia (Commonwealth) 3% Bds 21/03/2047 AUD100,1.7%>,<Indonesia (Republic of) 6.5% Bds 15/06/2025 IDR1000000,1.5%>,<Germany (Fed Rep) 0.1% Idx-Lkd 15/04/2026 EUR0.01,1.5%>","<International Bonds,85.8%>,<UK Corporate Bonds,7.7%>,<UK Gilts,2.6%>,<Managed Funds,0.2%>,<Alternative Trading,0.1%>,<Strategies,0.0%>,<International Equities,0.0%>,<Other,0.7%>,<Cash/Money Market,2.9%>","<North America,27.7%>,<UK,10.3%>,<Dev. Europe,20.7%>,<Emerging Europe,0.6%>,<Emerging Asia,8.8%>,<Japan,2.3%>,<South & Central America,9.0%>,<Middle East & Africa,2.7%>,<Australia & New Zealand,11.4%>",NA,"<AAA,27.2%>,<AA,8.1%>,<A,7.7%>,<BBB,15.6%>,<BB,7.9%>,<B,2.1%>,<Less than CCC,0.0%>,<Cash/Money Market,2.9%>,<Not Rated,27.5%>,<Non Debt,1.0%>",NA,NA,NA,NA,"<A - General,Yes>,<B - Foreign Exchange Risk,Yes>,<C - Emerging Markets,Yes>,<D - Smaller Companies,No>,<E - Fixed Interest,Yes>,<F - Derivatives,Yes>,<G - Cash/Money Market Funds,No>,<H - Property Funds,No>,<I - High Yield Bonds,Yes>,<J - Reinsured Funds,No>,<K - Long Term Asset Funds,No>",NA,NA,2.90%,NA
Aviva_Pension_MyM_BNY_Mellon_Long_Term_Global_Equity_[Unnamed_Life-Pension_fund_unit],NA,NA,NA,18.52%,18.74%,59.97%,"<Novo Nordisk A/S,4.5%>,<Taiwan Semiconductor,4.0%>,<Microsoft Corporation,4.0%>,<Amphenol Corporation,3.4%>,<Alphabet Inc,3.3%>,<Linde Public Limited Company,2.8%>,<Mastercard Incorporated,2.6%>,<ASML Holding N.V.,2.6%>,<Alimentation Couche-Tard,2.3%>,<Costco Wholesale Corporation,2.3%>","<North American Equities,61.0%>,<Developed Europe Equities,20.2%>,<UK Equities,7.3%>,<Japan Equities,4.8%>,<Developed Asia Equities,3.8%>,<Cash/Money Market,2.8%>","<North America,61.0%>,<UK,7.3%>,<Developed Europe,20.2%>,<Japan,4.8%>,<Developed Asia,3.8%>","<Technology,23.8%>,<Consumer Discretionary,21.2%>,<Health Care,19.6%>,<Industrials,16.9%>,<Basic Materials,6.6%>,<Financials,4.1%>,<Telecommunications,1.5%>,<Consumer Staples,1.5%>,<Other,1.9%>,<Cash/Money Market,2.8%>",NA,NA,NA,NA,4,Yes,"<Mega (Greater than 50bn),30.9%>,<Large (3bn-50bn),41.8%>,<Medium (1bn-3bn),0.0%>,<Small (50m-1bn),0.0%>,<Micro (Less than 50m),0.0%>,<Other,24.5%>,<Cash/Money Market,2.8%>",NA,2.80%,NA
Aviva_Pension_MyM_BNY_Mellon_Real_Return_[Unnamed_Life-Pension_fund_unit],11.65%,0.68%,-7.16%,13.08%,16.93%,40.75%,"<0% Treasury Gilt 2025,5.2%>,<USA Treasury Notes 1.25% TII 15/4/2028 USD100,4.7%>,<UK Treasury Bill 0% 29/07/2024 GBP0.01,3.5%>,<UK Treasury Bill 0% 11/11/2024 GBP0.01,2.9%>,<Mexico (United Mexican States) 90% T-bill 03/10/2024 MXN10,2.8%>,<Barclays Bank PLC S&P Coll Nts 13/01/2025 Friday,2.8%>,<Barclays Bank PLC S&P Coll Nts 13/01/2025 Monday,2.7%>,<MICROSOFT CORPORATION,2.3%>,<UK Treasury Bill 0% 12/08/2024 GBP0.01,2.2%>,<USA Treasury Notes 3% 15/11/2045 USD100,2.0%>","<International Equities,33.9%>,<International Bonds,15.9%>,<UK Corporate Bonds,10.9%>,<UK Equities,8.5%>,<UK Gilts,6.8%>,<Commodities,4.5%>,<Investment Trusts,3.0%>,<Managed Funds,2.4%>,<Property,0.7%>,<Alternative Trading Strategies,0.3%>,<Other,8.7%>,<Cash/Money Market,4.4%>","<North America,28.2%>,<UK,26.2%>,<Dev. Europe,11.3%>,<Emerging Europe,0.1%>,<Emerging Asia,3.0%>,<Japan,0.4%>,<Developed Asia,0.4%>,<South & Central America,6.3%>","<Technology,10.1%>,<Financials,8.1%>,<Government bonds,6.8%>,<Consumer Discretionary,6.0%>,<Health Care,5.9%>,<Industrials,5.3%>,<Commodities,4.5%>,<Consumer Staples,3.1%>,<Energy,2.9%>,<Managed Funds,2.4%>,<Basic Materials,2.0%>,<Utilities,1.3%>,<Other,37.3%>,<Cash/Money Market,4.4%>","<AAA,6.7%>,<AA,6.8%>,<A,0.3%>,<BBB,1.9%>,<BB,1.5%>,<B,0.2%>,<Less than CCC,0.0%>,<Cash/Money Market,4.4%>,<Not Rated,16.2%>,<Non Debt,62.0%>",NA,NA,NA,NA,"<A - General,Yes>,<B - Foreign Exchange Risk,Yes>,<C - Emerging Markets,Yes>,<D - Smaller Companies,Yes>,<E - Fixed Interest,Yes>,<F - Derivatives,Yes>,<G - Cash/Money Market Funds,No>,<H - Property Funds,No>,<I - High Yield Bonds,Yes>,<J - Reinsured Funds,No>,<K - Long Term Asset Funds,No>",NA,NA,4.40%,NA
Aviva_Pension_MyM_Climate_Transition_Global_Credit_[Unnamed_Life-Pension_fund_unit],NA,NA,NA,12.87%,NA,NA,"<UNITED STATES TREASURY NOTE/BOND,2.7%>,<ENEL SPA,1.5%>,<ESSENTIAL UTILITIES INC,1.5%>,<NBCUNIVERSAL MEDIA LLC,1.4%>,<BANK OF AMERICA CORP,1.3%>,<STANDARD CHARTERED PLC,1.3%>,<IBM INTERNATIONAL CAPITAL PTE LTD,1.3%>,<FORD MOTOR CREDIT CO LLC,1.3%>,<AUSTRALIA & NEW ZEALAND BANKING GROUP LTD,1.2%>,<IBERDROLA INTERNATIONAL BV,1.2%>","<International Bonds,86.7%>,<UK Corporate Bonds,7.9%>,<Managed Funds,0.9%>,<Other,1.2%>,<Cash/Money Market,3.5%>","<North America,53.4%>,<UK,7.9%>,<Developed Europe,25.1%>,<Developed Asia,2.5%>,<Australia & New Zealand,1.7%>",NA,"<AAA,6.6%>,<AA,5.1%>,<A,26.0%>,<BBB,39.5%>,<BB,6.3%>,<B,0.0%>,<Less than CCC,0.0%>,<Cash/Money Market,3.5%>,<Not Rated,11.1%>,<Non Debt,1.9%>",NA,NA,NA,1,"<A - General,Yes>,<B - Foreign Exchange Risk,Yes>,<C - Emerging Markets,Yes>,<D - Smaller Companies,No>,<E - Fixed Interest,Yes>,<F - Derivatives,Yes>,<G - Cash/Money Market Funds,No>,<H - Property Funds,No>,<I - High Yield Bonds,No>,<J - Reinsured Funds,No>,<K - Long Term Asset Funds,No>",NA,NA,3.50%,NA
Aviva_Pension_MyM_Climate_Transition_Global_Equity_[Unnamed_Life-Pension_fund_unit],NA,NA,NA,19.63%,15.87%,NA,"<MICROSOFT CORPORATION,7.6%>,<LINDE PUBLIC LIMITED COMPANY,4.7%>,<MUNCHENER RUCKVERSICHERUNGS AG,4.3%>,<PTC,4.1%>,<NVIDIA CORPORATION,4.0%>,<TRANE TECHNOLOGIES,3.9%>,<MOODY'S CORPORATION,3.5%>,<WASTE MANAGEMENT,3.4%>,<HUBBELL INCORPORATED,3.3%>,<UNITED RENTALS,3.1%>","<North American Equities,64.4%>,<Developed Europe Equities,31.7%>,<UK Equities,3.1%>,<Cash/Money Market,0.8%>","<North America,64.4%>,<Developed Europe,31.7%>,<UK,3.1%>,<Cash/Money Market,0.8%>","<Technology,30.9%>,<Industrials,30.3%>,<Financials,10.6%>,<Health Care,8.3%>,<Utilities,5.1%>,<Basic Materials,4.7%>,<Consumer Discretionary,4.6%>,<Consumer Staples,3.5%>,<Telecommunications,1.2%>,<Cash/Money Market,0.8%>",NA,NA,NA,NA,2,"<A - General,Yes>,<B - Foreign Exchange Risk,Yes>,<C - Emerging Markets,Yes>,<D - Smaller Companies,No>,<E - Fixed Interest,No>,<F - Derivatives,No>,<G - Cash/Money Market Funds,No>,<H - Property Funds,No>,<I - High Yield Bonds,No>,<J - Reinsured Funds,No>,<K - Long Term Asset Funds,No>","<Mega (Greater than 50bn),29.8%>,<Large (3bn-50bn),61.6%>,<Medium (1bn-3bn),0.0%>,<Small (50m-1bn),0.0%>,<Micro (Less than 50m),0.0%>,<Other,7.8%>,<Cash/Money Market,0.8%>",NA,"<Cash/Money Market,0.8%>",NA
Aviva_Pension_MyM_CT_European_Select_[Unnamed_Life-Pension_fund_unit],NA,NA,NA,18.21%,46.13%,NA,"<NOVO NORDISK A/S,6.5%>,<ASML HOLDING N.V.,6.2%>,<SAP SE,5.5%>,<SCHNEIDER ELECTRIC SE,5.0%>,<MUNCHENER RUCKVERSICHERUNGS AG,4.6%>,<COMPAGNIE DE SAINT-GOBAIN,4.5%>,<ASM INTERNATIONAL NV,4.4%>,<LVMH MOET HENNESSY LOUIS VUITTON,4.3%>,<HANNOVER RUCK SE,3.4%>,<RELX,3.3%>","<Developed Europe Equities,90.1%>,<UK Equities,3.7%>,<Non-Classified Equities,3.0%>,<North American Equities,1.5%>,<Cash/Money Market,1.7%>","<France,25.4%>,<Germany,18.7%>,<Netherlands,13.8%>,<Switzerland,9.3%>,<Denmark,8.6%>,<Spain,5.3%>,<Sweden,4.9%>,<United Kingdom,3.3%>,<Other,8.9%>,<Cash/Money Market,1.7%>","<Consumer Discretionary,22.5%>,<Technology,21.3%>,<Industrials,19.6%>,<Financials,15.7%>,<Health Care,9.1%>,<Basic Materials,7.8%>,<Consumer Staples,2.2%>,<Cash/Money Market,1.7%>",NA,NA,NA,NA,1,Yes,"<Mega (Greater than 50bn),24.9%>,<Large (3bn-50bn),27.7%>,<Medium (1bn-3bn),0.0%>,<Small (50m-1bn),0.0%>,<Micro (Less than 50m),0.0%>,<Other,45.8%>,<Cash/Money Market,1.7%>",NA,1.70%,NA
Aviva_Pension_MyM_CT_Global_Equity_Income_[Unnamed_Life-Pension_fund_unit],1.29%,6.15%,16.47%,20.08%,24.30%,46.49%,"<MICROSOFT CORPORATION,5.0%>,<TAIWAN SEMICONDUCTOR MANUFACTURING COMPANY LIMITED,2.4%>,<MEDTRONIC,2.2%>,<SAMSUNG ELECTRONICS CO. LTD,2.1%>,<PROCTER & GAMBLE COMPANY(THE),2.1%>,<DEUTSCHE TELEKOM AG,2.1%>,<AMERICAN EXPRESS COMPANY,2.0%>,<SIEMENS AKTIENGESELLSCHAFT,2.0%>,<GENERAL MOTORS COMPANY,2.0%>,<ELEVANCE HEALTH,1.9%>","<North American Equities,48.4%>,<Developed Europe Equities,29.2%>,<UK Equities,9.9%>,<Emerging Asia Equities,6.6%>,<Developed Asia Equities,1.7%>,<South & Central America Equities,1.2%>,<Japan Equities,1.1%>,<Real Estate Investment Trusts,0.9%>,<Cash/Money Market,0.9%>","<North America,48.4%>,<UK,9.9%>,<Developed Europe,29.2%>,<Emerging Asia,6.7%>,<Japan,1.1%>,<Developed Asia,1.7%>,<South & Central America,1.2%>","<Technology,18.1%>,<Industrials,17.8%>,<Health Care,14.8%>,<Financials,12.4%>,<Consumer Discretionary,7.7%>,<Consumer Staples,7.2%>,<Utilities,5.8%>,<Telecommunications,5.6%>,<Energy,5.1%>,<Basic Materials,3.7%>,<Real Estate,0.9%>,<Cash/Money Market,0.9%>",NA,NA,NA,1.29%,"<3,3,2,3>","<A - General,Yes>,<B - Foreign Exchange Risk,Yes>,<C - Emerging Markets,Yes>,<D - Smaller Companies,No>,<E - Fixed Interest,Yes>,<F - Derivatives,No>,<G - Cash/Money Market Funds,No>,<H - Property Funds,No>,<I - High Yield Bonds,No>,<J - Reinsured Funds,No>,<K - Long Term Asset Funds,No>","<Mega (Greater than 50bn),29.6%>,<Large (3bn-50bn),34.6%>,<Medium (1bn-3bn),0.0%>,<Small (50m-1bn),0.0%>,<Micro (Less than 50m),0.0%>,<Other,34.9%>,<Cash/Money Market,0.9%>",NA,0.90%,NA
Aviva_Pension_MyM_CT_Pensions_Property_[Unnamed_Life-Pension_fund_unit],1.83%,11.90%,NA,1.83%,2.25%,6.41%,"<Deeside,26.4%>,<Chelmsford,NA>,<Sittingbourne,NA>,<South Ockendon,NA>,<Cambridge,NA>,<London EC1, NA>,<London EC1, NA>,<Bristol,NA>,<London W1, NA>","<Industrial / Warehouse,47.1%>,<Town Centre Offices,17.8%>,<Retail Warehouse,15.1%>,<Miscellaneous,7.8%>,<Out of Town Offices,5.4%>,<Cash/Money Market,3.9%>,<Unit Shop,2.5%>,<Supermarket,0.4%>","<UK,96.1%>,<NA,3.9%>","<Industrial,47.1%>,<Office,23.3%>,<Retail,17.9%>,<Other Direct Property,7.8%>,<Cash/Money Market,3.9%>",NA,NA,NA,1.83%,2,Yes,NA,NA,3.90%,NA
